Date,Event,Country,Unique Users
2021-11,All Events - Unique,Sudan,496
2021-11,All Events - Unique,Syria,17
2021-11,All Events - Unique,Ukraine,558
2021-11,All Events - Unique,Yemen,973
2021-12,All Events - Unique,Afghanistan,711
2021-12,All Events - Unique,Central African Republic,132
2021-12,All Events - Unique,Ethiopia,1607
2021-12,All Events - Unique,Nigeria,1297
2021-12,All Events - Unique,Somalia,801
2021-12,All Events - Unique,South Sudan,335
2021-12,All Events - Unique,Sudan,718
2021-12,All Events - Unique,Syria,5
2021-12,All Events - Unique,Ukraine,485
2021-12,All Events - Unique,Yemen,925
2022-01,All Events - Unique,Afghanistan,799
2022-01,All Events - Unique,Central African Republic,134
2022-01,All Events - Unique,Ethiopia,1494
2022-01,All Events - Unique,Nigeria,1798
2022-01,All Events - Unique,Somalia,787
